Country,2012,2013,2014,2015,2016,2017,2018
Afghanistan,8.0,8.0,12.0,8.0,15.0,15.0,16.0
Albania,33.0,31.0,33.0,33.0,39.0,38.0,36.0
Algeria,34.0,36.0,36.0,34.0,34.0,33.0,35.0
Angola,22.0,23.0,19.0,22.0,18.0,19.0,19.0
Argentina,35.0,34.0,34.0,35.0,36.0,39.0,40.0
Armenia,34.0,36.0,37.0,34.0,33.0,35.0,35.0
Australia,85.0,81.0,80.0,85.0,79.0,77.0,77.0
Austria,69.0,69.0,72.0,69.0,75.0,75.0,76.0
Azerbaijan,27.0,28.0,29.0,27.0,30.0,31.0,25.0
Bahamas,71.0,71.0,71.0,71.0,66.0,65.0,65.0
Bahrain,51.0,48.0,49.0,51.0,43.0,36.0,36.0
Bangladesh,26.0,27.0,25.0,26.0,26.0,28.0,26.0
Barbados,76.0,75.0,74.0,76.0,61.0,68.0,68.0
Belarus,31.0,29.0,31.0,31.0,40.0,44.0,44.0
Belgium,75.0,75.0,76.0,75.0,77.0,75.0,75.0
Benin,36.0,36.0,39.0,36.0,36.0,39.0,40.0
Bhutan,63.0,63.0,65.0,63.0,65.0,67.0,68.0
Bolivia,34.0,34.0,35.0,34.0,33.0,33.0,29.0
Bosnia and Herzegovina,42.0,42.0,39.0,42.0,39.0,38.0,38.0
Botswana,65.0,64.0,63.0,65.0,60.0,61.0,61.0
Brazil,43.0,42.0,43.0,43.0,40.0,37.0,35.0
Brunei,55.0,60.0,,55.0,58.0,,
Brunei Darussalam,,,,,,62.0,63.0
Bulgaria,41.0,41.0,43.0,41.0,41.0,43.0,42.0
Burkina Faso,38.0,38.0,38.0,38.0,42.0,42.0,41.0
Burundi,19.0,21.0,20.0,19.0,20.0,22.0,17.0
Cabo Verde,,,,,,55.0,57.0
Cambodia,22.0,20.0,21.0,22.0,21.0,21.0,20.0
Cameroon,26.0,25.0,27.0,26.0,26.0,25.0,25.0
Canada,84.0,81.0,81.0,84.0,82.0,82.0,81.0
Cape Verde,60.0,58.0,57.0,60.0,59.0,,
Central African Republic,26.0,25.0,24.0,26.0,20.0,23.0,26.0
Chad,19.0,19.0,22.0,19.0,20.0,20.0,19.0
Chile,72.0,71.0,73.0,72.0,66.0,67.0,67.0
China,39.0,40.0,36.0,39.0,40.0,41.0,39.0
Colombia,36.0,36.0,37.0,36.0,37.0,37.0,36.0
Comoros,28.0,28.0,26.0,28.0,24.0,27.0,27.0
Congo,,,,,,21.0,19.0
Congo Republic,26.0,22.0,23.0,26.0,,,
Costa Rica,54.0,53.0,54.0,54.0,58.0,59.0,56.0
Cote d'Ivoire,,,,,,,35.0
Croatia,46.0,48.0,48.0,46.0,49.0,49.0,48.0
Cuba,48.0,46.0,46.0,48.0,47.0,47.0,47.0
Cyprus,66.0,63.0,63.0,66.0,55.0,57.0,59.0
Czech Republic,49.0,48.0,51.0,49.0,55.0,57.0,59.0
Côte D'Ivoire,,,,,,36.0,
Côte d´Ivoire,29.0,27.0,32.0,29.0,,,
Côte d’Ivoire,,,,,34.0,,
Democratic Republic of the Congo,21.0,22.0,22.0,21.0,,21.0,20.0
Denmark,90.0,91.0,92.0,90.0,90.0,88.0,88.0
Djibouti,36.0,36.0,34.0,36.0,30.0,31.0,31.0
Dominica,58.0,58.0,58.0,58.0,59.0,57.0,57.0
Dominican Republic,32.0,29.0,32.0,32.0,31.0,29.0,30.0
Ecuador,32.0,35.0,33.0,32.0,31.0,32.0,34.0
Egypt,32.0,32.0,37.0,32.0,34.0,32.0,35.0
El Salvador,38.0,38.0,39.0,38.0,36.0,33.0,35.0
Equatorial Guinea,20.0,19.0,,20.0,,17.0,16.0
