company,ds,sales
ALPHA,2019-04-30,477.97963741288885
ALPHA,2019-05-01,437.54546363919326
ALPHA,2019-05-02,479.6972210228108
ALPHA,2019-05-03,545.9405920512463
ALPHA,2019-05-04,495.89825172103417
ALPHA,2019-05-05,494.11645279743027
ALPHA,2019-05-06,498.9854681959478
ALPHA,2019-05-07,472.82060561330206
ALPHA,2019-05-08,422.8341712454254
ALPHA,2019-05-09,454.99850649272514
ALPHA,2019-05-10,511.05873749583657
ALPHA,2019-05-11,450.88588482295404
ALPHA,2019-05-12,439.2769100742212
ALPHA,2019-05-13,434.86856347354876
ALPHA,2019-05-14,400.21192749849206
ALPHA,2019-05-15,342.7382089196832
ALPHA,2019-05-16,368.6160693991117
ALPHA,2019-05-17,419.759286831489
ALPHA,2019-05-18,356.17552899722665
ALPHA,2019-05-19,342.76292878568734
ALPHA,2019-05-20,338.22141279503813
ALPHA,2019-05-21,305.12573905080956
ALPHA,2019-05-22,250.89082836758473
ALPHA,2019-05-23,281.6296824454185
ALPHA,2019-05-24,339.1626547900674
ALPHA,2019-05-25,283.3688018912594
ALPHA,2019-05-26,278.98592353658006
ALPHA,2019-05-27,284.5261399825657
ALPHA,2019-05-28,262.35383711493375
ALPHA,2019-05-29,219.65642275354938
ALPHA,2019-05-30,262.3080332589615
ALPHA,2019-05-31,331.8847945604937
ALPHA,2019-06-01,288.022199739941
ALPHA,2019-06-02,295.2210481901846
ALPHA,2019-06-03,311.76863631039936
ALPHA,2019-06-04,299.8218836590867
ALPHA,2019-06-05,266.3827051473319
ALPHA,2019-06-06,317.1656540982797
ALPHA,2019-06-07,393.6163472576776
ALPHA,2019-06-08,355.2711645144942
ALPHA,2019-06-09,366.5646243056571
ALPHA,2019-06-10,385.75110683112456
ALPHA,2019-06-11,374.98761748575026
ALPHA,2019-06-12,341.30793520899834
ALPHA,2019-06-13,390.48822891750444
ALPHA,2019-06-14,464.0627334998287
ALPHA,2019-06-15,421.68007785465073
ALPHA,2019-06-16,427.9067816419189
ALPHA,2019-06-17,441.14472082655453
ALPHA,2019-06-18,423.7093905351234
ALPHA,2019-06-19,382.79944995306727
ALPHA,2019-06-20,424.3577720197501
